Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
106,NA,KH-109 [1],CP,96mm,0,102,90,12
107,NA,KH-109 [1],CP,160mm,0,256,128,128
108,NA,KH-109 [1],CP,224mm,0,59,0,59
109,NA,KH-109 [1],Black,224mm,0,40,7,33
110,NA,KH-109 [1],Black,288mm,0,118,64,54
111,NA,KH-109 [1],Black,160mm,0,156,116,40
112,NA,KH-109 [1],Black,96mm,0,317,130,187
113,NA,KH-110 [1],Gray Black,160mm,0,151,84,67
114,NA,KH-110 [1],Gray Black,224mm,0,49,12,37
115,NA,KH-110 [1],Gray Black,96mm,0,185,131,54
116,NA,KH-110 [1],Gray Black,288mm,0,31,2,29
117,NA,KH-110 [2],Rose Gold,96mm,0,281,121,160
118,NA,KH-110 [5],Rose Gold,288mm,0,37,17,20
119,NA,KH-110 [5],Rose Gold,224mm,0,48,8,40
120,NA,KH-110 [5],Rose Gold,160mm,0,132,40,92
121,NA,KH-111 [1],Rose Gold,96mm,0,257,177,80
122,NA,KH-111 [1],Rose Gold,160mm,0,116,92,24
123,NA,KH-111 [1],Rose Gold,224mm,0,49,10,39
124,NA,KH-111 [1],Rose Gold,288mm,0,43,2,41
125,NA,KH-111 [1],Satin,224mm,0,53,0,53
126,NA,KH-111 [1],Satin,288mm,0,39,8,31
127,NA,KH-111 [1],Satin,160mm,0,179,15,164
128,NA,KH-111 [1],Satin,96mm,0,258,138,120
129,NA,KH-111 [5],CP,224mm,0,92,13,79
130,NA,KH-111 [5],CP,160mm,0,168,71,97
131,NA,KH-111 [5],CP,96mm,0,329,233,96
132,NA,KH-111 [8],CP,288,0,48,1,47
133,NA,KH-112 [1],B. Satin,160mm,0,117,16,101
134,NA,KH-112 [1],B. Satin,224mm,0,54,0,54
135,NA,KH-112 [1],Antique,160mm,0,136,20,116
136,NA,KH-112 [1],B. Satin,288mm,0,25,10,15
137,NA,KH-112 [1],B. Satin,96mm,0,209,16,193
138,NA,KH-112 [1],Antique,224mm,0,52,14,38
139,NA,KH-112 [1],Antique,96mm,0,223,124,99
140,NA,KH-112 [1],Antique,288mm,0,25,11,14
141,NA,KH-113 [1],Satin,224mm,0,107,25,82
142,NA,KH-113 [1],Satin,288mm,0,26,1,25
143,NA,KH-113 [1],Satin,96mm,0,568,478,90
144,NA,KH-113 [1],Satin,160mm,0,187,115,72
145,NA,KH-113 [1],Gray,288mm,0,30,29,1
146,NA,KH-113 [1],Gray,224mm,0,99,43,56
147,NA,KH-113 [1],Gray,160mm,0,208,155,53
148,NA,KH-113 [113],Gray,96mm,0,365,315,50
149,NA,KH-114 [1],Satin,224mm,0,53,0,53
150,NA,KH-114 [1],Satin,160mm,0,75,23,52
151,NA,KH-114 [1],Antique,160mm,0,120,36,84
152,NA,KH-114 [1],Antique,224mm,0,69,23,46
153,NA,KH-114 [1],Antique,288mm,0,43,11,32
154,NA,KH-114 [1],Gray,288mm,0,30,4,26
155,NA,KH-114 [1],Satin,96mm,0,159,64,95
156,NA,KH-114 [1],Satin,288mm,0,16,7,9
157,NA,KH-114 [1],Antique,96mm,0,187,60,127
158,NA,KH-114 [1],Gray,224mm,0,50,20,30
159,NA,KH-114 [1],Gray,160mm,0,108,12,96
160,NA,KH-114 [1],Gray,96mm,0,342,148,194
161,NA,KH-115 [1],Antique,288mm,0,21,4,17
162,NA,KH-115 [1],Antique,224mm,0,25,4,21
163,NA,KH-115 [1],Antique,160mm,0,134,25,109
164,NA,KH-115 [1],Antique,96mm,0,186,69,117
165,NA,KH-116 [1],Rose Gold,96mm,0,120,37,83
166,NA,KH-116 [1],Rose Gold,160mm,0,67,8,59
167,NA,KH-116 [1],Rose Gold,224mm,0,35,0,35
168,NA,KH-116 [1],Rose Gold,288mm,0,18,10,8
169,NA,KH-116 [1],Antique,288mm,0,8,8,0
170,NA,KH-116 [1],Satin,224mm,0,45,12,33
171,NA,KH-116 [1],Satin,288mm,0,10,0,10
172,NA,KH-116 [1],Antique,96mm,0,260,131,129
173,NA,KH-116 [1],Antique,160mm,0,84,62,22
174,NA,KH-116 [1],Antique,224mm,0,32,29,3
175,NA,KH-116 [1],CP,288mm,0,23,2,21
176,NA,KH-116 [1],Satin,96mm,0,133,49,84
177,NA,KH-116 [1],Satin,160mm,0,84,5,79
178,NA,KH-116 [1],CP,224mm,0,42,0,42
179,NA,KH-116 [1],CP,160mm,0,103,5,98
180,NA,KH-116 [1],CP,96mm,0,203,13,190
181,NA,KH-117 [1],Satin,224mm,0,38,8,30
182,NA,KH-117 [1],Satin,288mm,0,10,8,2
183,NA,KH-117 [1],CP Wengi,288mm,0,6,0,6
184,NA,KH-117 [1],Satin,96mm,0,142,14,128
185,NA,KH-117 [1],Satin,160mm,0,170,43,127
186,NA,KH-117 [1],CP Wengi,224mm,0,12,10,2
187,NA,KH-117 [1],CP Wengi,160mm,0,82,16,66
188,NA,KH-117 [1],CP Wengi,96mm,0,96,29,67
189,NA,KH-118 [1],Satin,288mm,0,14,4,10
190,NA,KH-118 [1],Black,96mm,0,176,30,146
191,NA,KH-118 [1],Black,224mm,0,35,10,25
192,NA,KH-118 [1],Black,160mm,0,132,1,131
193,NA,KH-118 [1],Black,288mm,0,19,4,15
194,NA,KH-118 [1],Satin,96mm,0,404,214,190
195,NA,KH-118 [1],Satin,160mm,0,199,70,129
196,NA,KH-118 [1],Satin,224mm,0,86,32,54
197,NA,KH-118 [1],CP,288mm,0,17,4,13
198,NA,KH-118 [1],CP,224mm,0,29,0,29
199,NA,KH-118 [1],CP,160mm,0,100,2,98
200,NA,KH-118 [1],CP,96mm,0,181,38,143
201,NA,KH-119 [1],Satin,224mm,0,55,9,46
202,NA,KH-119 [1],Satin,96mm,0,403,124,279
203,NA,KH-119 [1],Satin,128mm,0,151,30,121
204,NA,KH-119 [1],Satin,160mm,0,224,4,220
205,NA,KH-119 [1],CP,160mm,0,164,21,143
206,NA,KH-119 [1],CP,224mm,0,97,18,79
207,NA,KH-119 [1],CP,128mm,0,101,5,96
208,NA,KH-119 [1],CP,96mm,0,149,65,84
209,NA,KH-120 [1],Matt,288mm,0,58,3,55
210,NA,KH-120 [1],Matt,160mm,0,186,10,176
211,NA,KH-120 [1],Matt,224mm,0,46,0,46
212,NA,KH-120 [1],Matt,96mm,0,184,24,160
213,NA,KH-120 [1],CP Wengi,288mm,0,36,0,36
214,NA,KH-120 [120],CP Wengi,224mm,0,67,5,62
215,NA,KH-120 [120],CP Wengi,160mm,0,113,0,113
216,NA,KH-120 [120],CP Wengi,96mm,0,125,39,86
217,NA,KH-121 [1],B. Satin,160mm,0,148,1,147
218,NA,KH-121 [1],B. Satin,224mm,0,51,3,48
219,NA,KH-121 [1],B. Satin,288mm,0,45,0,45
220,NA,KH-121 [1],Rose Gold,96mm,0,116,108,8
221,NA,KH-121 [1],Rose Gold,160mm,0,64,13,51
222,NA,KH-121 [1],Rose Gold,224mm,0,60,1,59
223,NA,KH-121 [1],Rose Gold,288mm,0,59,0,59
224,NA,KH-121 [1],B. Satin,96mm,0,113,1,112
225,NA,KH-121 [1],Antique,96mm,0,87,20,67
226,NA,KH-121 [1],Antique,224mm,0,83,0,83
227,NA,KH-121 [1],Antique,288m,0,30,2,28
228,NA,KH-121 [1],Satin,224mm,0,53,0,53
229,NA,KH-121 [1],Satin,288mm,0,57,2,55
230,NA,KH-121 [1],Satin,160mm,0,66,3,63
231,NA,KH-121 [1],Satin,96mm,0,148,13,135
232,NA,KH-121 [14],Antique,160mm,0,124,4,120
233,NA,KH-122 [1],Satin,96mm,0,194,155,39
234,NA,KH-122 [1],Satin,128mm,0,86,9,77
235,NA,KH-122 [1],Satin,160mm,0,183,25,158
236,NA,KH-122 [1],Satin,224mm,0,39,1,38
237,NA,KH-122 [1],CP,160mm,0,128,17,111
238,NA,KH-122 [1],CP,224mm,0,37,0,37
239,NA,KH-122 [1],CP,128mm,0,192,0,192
240,NA,KH-122 [1],CP,96mm,0,324,29,295
241,NA,KH-122 [2],CP Wengi,128mm,0,20,0,20
242,NA,KH-122 [2],CP Wengi,160mm,0,11,0,11
243,NA,KH-122 [2],CP Wengi,96mm,0,23,0,23
244,NA,KH-1239 [1],SSCP,224MM,0,0,51,-51
245,NA,KH-1239 [1],SSCP,160MM,0,0,50,-50
246,NA,KH-1239 [1],SSCP,96MM,0,0,316,-316
247,NA,KH-401 [1],CP,160mm,0,106,5,101
248,NA,KH-401 [1],CP,224mm,0,39,7,32
249,NA,KH-401 [1],CP,128mm,0,157,22,135
250,NA,KH-401 [1],CP,96mm,0,264,140,124
251,NA,KH-402 [1],Matt,96mm,0,564,394,170
252,NA,KH-402 [1],Matt,224mm,0,31,0,31
253,NA,KH-402 [1],Matt,288mm,0,9,1,8
254,NA,KH-402 [1],Matt,160mm,0,81,1,80
255,NA,KH-402 [1],CP,224mm,0,82,35,47
256,NA,KH-402 [1],CP,288mm,0,10,0,10
257,NA,KH-402 [1],CP,160mm,0,206,140,66
258,NA,KH-402 [1],CP,96mm,0,584,500,84
259,NA,KH-403 [1],CPTT,224mm,0,128,36,92
260,NA,KH-403 [1],CPTT,160mm,0,227,114,113
261,NA,KH-403 [1],CPTT,128mm,0,821,591,230
262,NA,KH-403 [1],CPTT,96mm,0,2019,1383,636
263,NA,KH-404 [1],Matt,128mm,0,252,134,118
264,NA,KH-404 [1],Matt,160mm,0,182,12,170
265,NA,KH-404 [1],Matt,224mm,0,59,48,11
266,NA,KH-404 [1],CP,224mm,0,42,20,22
267,NA,KH-404 [1],Matt,96mm,0,332,275,57
268,NA,KH-404 [1],CP,160mm,0,136,44,92
269,NA,KH-404 [1],CP,128mm,0,153,69,84
270,NA,KH-404 [1],CP,96mm,0,494,331,163
271,NA,KH-405 [1],Matt,128mm,0,171,123,48
272,NA,KH-405 [1],Matt,160mm,0,165,61,104
273,NA,KH-405 [1],Matt,224mm,0,36,15,21
274,NA,KH-405 [1],CP,224mm,0,54,28,26
275,NA,KH-405 [1],Matt,96mm,0,288,236,52
276,NA,KH-405 [1],CP,160mm,0,207,38,169
277,NA,KH-405 [1],CP,128mm,0,175,115,60
278,NA,KH-405 [1],CP,96mm,0,299,235,64
279,NA,KH-406 [1],Matt,160mm,0,123,27,96
280,NA,KH-406 [1],Matt,224mm,0,14,16,-2
281,NA,KH-406 [1],Matt,96mm,0,329,215,114
282,NA,KH-406 [1],Matt,128mm,0,106,9,97
283,NA,KH-406 [1],CP,224mm,0,13,2,11
284,NA,KH-406 [1],CP,160mm,0,99,10,89
285,NA,KH-406 [1],CP,128mm,0,113,58,55
286,NA,KH-406 [4],CP,96mm,0,271,83,188
287,NA,KH-407 [1],CP,160mm,0,140,2,138
288,NA,KH-407 [1],CP,128mm,0,123,11,112
289,NA,KH-407 [1],CP,96mm,0,511,399,112
290,NA,KH-407 [4],CP,224mm,0,45,25,20
291,NA,KH-408 [1],Matt,160mm,0,219,6,213
292,NA,KH-408 [1],Matt,224mm,0,68,0,68
293,NA,KH-408 [1],Matt,288mm,0,60,1,59
294,NA,KH-408 [1],CP,288mm,0,25,0,25
295,NA,KH-408 [1],Matt,96mm,0,146,57,89
296,NA,KH-408 [1],CP,224mm,0,45,1,44
297,NA,KH-408 [1],CP,160mm,0,87,2,85
298,NA,KH-408 [1],CP,96mm,0,200,11,189
299,NA,KH-409 [1],Matt,96mm,0,148,0,148
300,NA,KH-409 [1],Matt,128mm,0,108,0,108
301,NA,KH-409 [1],Matt,160mm,0,146,0,146
302,NA,KH-409 [1],Matt,224mm,0,92,0,92
303,NA,KH-409 [1],Matt,288mm,0,6,0,6
304,NA,KH-409 [1],CP,224mm,0,16,0,16
305,NA,KH-409 [1],CP,288mm,0,18,0,18
306,NA,KH-409 [1],CP,160mm,0,109,0,109
307,NA,KH-409 [1],CP,128mm,0,158,1,157
308,NA,KH-409 [1],CP,96mm,0,131,46,85
309,NA,KH-410 [1],Matt,224mm,0,32,1,31
310,NA,KH-410 [1],Matt,96mm,0,170,20,150
311,NA,KH-410 [1],Matt,160mm,0,94,16,78
312,NA,KH-410 [1],CP,288mm,0,57,1,56
313,NA,KH-410 [1],CP,160mm,0,55,12,43
314,NA,KH-410 [1],CP,96mm,0,159,60,99
315,NA,KH-411 [1],CPTT,288mm,0,4,0,4
316,NA,KH-411 [1],CPTT,224mm,0,42,10,32
317,NA,KH-411 [1],CPTT,160mm,0,179,38,141
318,NA,KH-411 [1],CPTT,96mm,0,357,262,95
319,NA,KH-412 [1],Matt,224mm,0,34,15,19
320,NA,KH-412 [1],Matt,288mm,0,18,11,7
321,NA,KH-412 [1],CP,288mm,0,22,0,22
322,NA,KH-412 [1],Matt,96mm,0,287,155,132
323,NA,KH-412 [1],Matt,160mm,0,118,39,79
324,NA,KH-412 [1],CP,224mm,0,73,1,72
325,NA,KH-412 [1],CP,160mm,0,50,44,6
326,NA,KH-412 [1],CP,96mm,0,326,264,62
327,NA,KH-413 [1],Matt,224mm,0,83,11,72
328,NA,KH-413 [1],Matt,288mm,0,38,0,38
329,NA,KH-413 [1],CP,288mm,0,69,0,69
330,NA,KH-413 [1],Matt,96mm,0,240,0,240
331,NA,KH-413 [1],Matt,160mm,0,98,0,98
332,NA,KH-413 [1],CP,224mm,0,79,22,57
333,NA,KH-413 [1],CP,160mm,0,159,5,154
334,NA,KH-413 [1],CP,96mm,0,229,126,103
335,NA,KH-414 [1],Matt,224mm,0,78,0,78
336,NA,KH-414 [1],CP,288mm,0,42,0,42
337,NA,KH-414 [1],Matt,96mm,0,117,0,117
338,NA,KH-414 [1],Matt,160mm,0,9,0,9
339,NA,KH-414 [1],CP,224mm,0,47,9,38
340,NA,KH-414 [1],CP,160mm,0,80,3,77
341,NA,KH-414 [1],CP,96mm,0,133,33,100
342,NA,KH-415 [1],CPTT,160mm,0,0,36,-36
343,NA,KH-415 [1],Matt,96mm,0,1009,466,543
344,NA,KH-415 [1],Matt,128mm,0,0,150,-150
345,NA,KH-415 [1],CP,224mm,0,0,85,-85
346,NA,KH-415 [1],CPTT,96mm,0,953,1268,-315
347,NA,KH-415 [1],CPTT,128mm,0,0,438,-438
348,NA,KH-415 [1],CP,160mm,0,0,80,-80
349,NA,KH-415 [1],CP,128mm,0,0,275,-275
350,NA,KH-415 [1],CP,96mm,0,0,982,-982
351,NA,KH-415 [415],Matt,224mm,0,0,11,-11
352,NA,KH-415 [415],Matt,160mm,0,0,82,-82
353,NA,KH-416 [1],CPTT,160mm,0,301,94,207
354,NA,KH-416 [1],CPTT,128mm,0,0,188,-188
355,NA,KH-416 [1],CPTT,96mm,0,1362,1611,-249
356,NA,KH-416 [1],CPTT,224mm,0,222,52,170
357,NA,KH-417 [1],CPTT,160mm,0,0,104,-104
358,NA,KH-417 [1],CPTT,128mm,0,0,183,-183
359,NA,KH-417 [1],CPTT,96mm,0,0,913,-913
