Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
467,NA,KH-449 [1],CPTT,224mm,0,0,7,-7
468,NA,KH-449 [1],CPTT,96mm,0,0,566,-566
469,NA,KH-449 [1],CPTT,128mm,0,0,168,-168
470,NA,KH-450 [1],CPTT,96mm,0,0,10,-10
471,NA,KH-451 [1],CPTT,128mm,0,0,480,-480
472,NA,KH-451 [1],CPTT,96mm,0,0,810,-810
473,NA,KH-452 [1],CPTT,160mm,0,0,160,-160
474,NA,KH-452 [1],CPTT,224mm,0,0,216,-216
475,NA,KH-452 [1],CPTT,128mm,0,0,1020,-1020
476,NA,KH-452 [1],CPTT,96mm,0,0,2540,-2540
477,NA,KH-453 [1],CPTT,128mm,0,0,245,-245
478,NA,KH-453 [1],CPTT,96mm,0,0,423,-423
479,NA,KH-455 [1],Satin,160mm,0,95,2,93
480,NA,KH-455 [1],Satin,288mm,0,20,2,18
481,NA,KH-455 [1],CP,224mm,0,88,2,86
482,NA,KH-455 [1],Satin,96mm,0,157,0,157
483,NA,KH-455 [1],CP,160mm,0,44,6,38
484,NA,KH-455 [1],CP,96mm,0,195,86,109
485,NA,KH-455 [K],Satin,224mm,0,60,0,60
486,NA,KH-456 [1],CPTT,224mm,0,31,12,19
487,NA,KH-456 [1],CPTT,288mm,0,9,3,6
488,NA,KH-456 [1],CPTT,160mm,0,92,3,89
489,NA,KH-456 [1],CPTT,96mm,0,158,20,138
490,NA,KH-457 [1],Satin,96mm,0,385,244,141
491,NA,KH-457 [1],Satin,288mm,0,37,5,32
492,NA,KH-457 [1],CP,224mm,0,73,3,70
493,NA,KH-457 [1],CP,288mm,0,46,0,46
494,NA,KH-457 [1],CP,160mm,0,217,152,65
495,NA,KH-457 [1],CP,96mm,0,433,330,103
496,NA,KH-457 [2],Satin,224mm,0,56,3,53
497,NA,KH-457 [2],Satin,160mm,0,144,45,99
498,NA,KH-467 [1],CPTT,128mm,0,0,300,-300
499,NA,KH-467 [1],CPTT,96mm,0,0,920,-920
500,NA,KH-467 [11],CPTT,160mm,0,0,31,-31
501,NA,KH-469 [1],Satin,128mm,0,201,142,59
502,NA,KH-469 [1],Satin,160mm,0,139,44,95
503,NA,KH-469 [1],Satin,224mm,0,47,11,36
504,NA,KH-469 [1],CP,224mm,0,75,0,75
505,NA,KH-469 [1],Satin,96mm,0,92,92,0
506,NA,KH-469 [1],CP,128mm,0,230,0,230
507,NA,KH-469 [1],CP,96mm,0,125,21,104
508,NA,KH-469 [4],CP,160mm,0,359,5,354
509,NA,KH-471 [1],CPTT,128mm,0,0,375,-375
510,NA,KH-471 [1],CPTT,96mm,0,0,750,-750
511,NA,KH-472 [1],CPTT,128mm,0,0,191,-191
512,NA,KH-472 [K],CPTT,96mm,0,0,587,-587
513,NA,KH-473 [1],CPTT,128mm,0,0,60,-60
514,NA,KH-473 [1],CPTT,96mm,0,0,160,-160
515,NA,KH-474 [1],Wengi,128mm,0,0,30,-30
516,NA,KH-474 [1],Wengi,96mm,0,0,80,-80
517,NA,Mark [1],CPTT,160mm,0,0,1,-1
518,NA,Mark [1],CPTT,128mm,0,0,63,-63
519,NA,Mark [1],CPTT,96mm,0,500,467,33
520,NA,Marshal [1],CPTT,160mm,0,0,108,-108
521,NA,Marshal [1],CPTT,128mm,0,0,520,-520
522,NA,Marshal [1],CPTT,96mm,0,2150,2000,150
523,NA,Nano-2 [1],CPTT,160mm,0,0,29,-29
524,NA,Nano-2 [1],CPTT,128mm,0,0,18,-18
525,NA,Nano-2 [Nano-2],CPTT,96mm,0,1144,581,563
